dataset,rows,cols,nnz,cusparse_kernel_ms,cusparse_e2e_ms,cusparse_gflops,preprocess_adj_ms,preprocess_iter_ms,preprocess_max_ms,mp_adj_ms,mp_adj_gflops,mp_iter_ms,mp_iter_gflops,mp_max_ms,mp_max_gflops,mp_best_strategy,mp_best_ms,mp_best_gflops,mp_e2e_ms,speedup_kernel
as-caida,31379,31379,106762,0.08170,5.43409,334.533,13.299,17.255,NA,0.46279,651.909545,0.42756,668.755091,NA,NA,iter,0.42756,668.755091,17.68256,0.191
ASIC_100ks,99190,99190,578890,0.25668,17.52145,577.366,37.552,37.32,NA,0.18336,3960.415318,0.17392,3810.833546,NA,NA,iter,0.17392,3810.833546,37.49392,1.476
ASIC_320ks,321671,321671,1827807,0.73257,51.25283,638.736,120.795,120.226,NA,0.57440,4255.884897,0.49339,4335.316885,NA,NA,iter,0.49339,4335.316885,120.71939,1.485
ASIC_680ks,682712,682712,2329176,1.43823,112.41386,414.586,176.206,196.238,NA,0.66736,6588.890761,0.63396,6081.292228,NA,NA,iter,0.63396,6081.292228,196.87196,2.269
as-Skitter,1696415,1696415,22190596,9.84123,375.37476,577.244,1801.92,5530.89,NA,8.78166,4386.503481,6.75846,4946.301800,NA,NA,iter,6.75846,4946.301800,5537.64846,1.456
atmosmodd,1270432,1270432,8814880,4.37336,218.04277,515.990,653.934,616.156,NA,1.54384,11668.859015,1.43421,10795.693839,NA,NA,iter,1.43421,10795.693839,617.59021,3.049
atmosmodl,1489752,1489752,10319760,5.26705,247.76262,501.583,772.954,709.413,NA,1.81631,11618.694613,1.69517,10685.294334,NA,NA,iter,1.69517,10685.294334,711.10817,3.107
atmosmodm,1489752,1489752,10319760,5.26786,272.46307,501.505,764.361,689.89,NA,1.80695,11678.875805,1.69343,10696.279003,NA,NA,iter,1.69343,10696.279003,691.58343,3.111
aug3dcqp,35543,35543,100572,0.09060,6.29569,284.166,9.143,10.703,NA,0.04256,6106.641029,0.04153,6238.264068,NA,NA,iter,0.04153,6238.264068,10.74453,2.182
av41092,41092,41092,1683902,0.37495,8.97978,1149.704,79.418,146.579,NA,0.30507,6749.946383,0.29334,6821.811137,NA,NA,iter,0.29334,6821.811137,146.87234,1.278
barrier2-1,113076,113076,3805068,0.97474,23.10813,999.340,290.309,267.979,NA,1.35145,3767.658098,1.20697,3960.878312,NA,NA,iter,1.20697,3960.878312,269.18597,0.808
barrier2-10,115625,115625,3897557,0.96666,46.82230,1032.190,269.67,274.146,NA,1.64284,3176.523823,1.41982,3452.438603,NA,NA,iter,1.41982,3452.438603,275.56582,0.681
barrier2-12,115625,115625,3897557,1.00024,24.55448,997.532,266.653,269.507,NA,1.64723,3168.072036,1.42586,3437.809762,NA,NA,iter,1.42586,3437.809762,270.93286,0.701
barrier2-3,113076,113076,3805068,0.94808,45.45271,1027.441,274.358,304.978,NA,1.34343,3790.173462,1.19302,4007.182365,NA,NA,iter,1.19302,4007.182365,306.17102,0.795
barrier2-9,115625,115625,3897557,0.96176,23.34176,1037.445,308.563,309.514,NA,1.64921,3164.255970,1.42451,3441.072048,NA,NA,iter,1.42451,3441.072048,310.93851,0.675
Baumann,112211,112211,760631,0.31539,21.27105,617.395,48.71,52.111,NA,0.10791,11359.423383,0.10689,10668.710632,NA,NA,iter,0.10689,10668.710632,52.21789,2.951
baxter,27441,30733,111576,0.08708,4.69876,328.010,7.779,7.26,NA,1.55122,139.820187,0.88289,224.541860,NA,NA,iter,0.88289,224.541860,8.14289,0.099
bayer04,20545,20545,159082,0.06504,3.44533,626.153,6.583,6.831,NA,0.02367,7010.380897,0.02335,6865.965217,NA,NA,iter,0.02335,6865.965217,6.85435,2.785
bcircuit,68902,68902,375558,0.17740,11.02821,541.962,25.858,24.994,NA,0.08061,6715.853371,0.07657,6286.600586,NA,NA,iter,0.07657,6286.600586,25.07057,2.317
bcsstk17,10974,10974,417676,0.05280,3.32577,2025.071,11.082,9.496,NA,0.03391,6404.830776,0.03271,5261.865824,NA,NA,iter,0.03271,5261.865824,9.52871,1.614
bcsstk25,15439,15439,236802,0.04823,2.94546,1256.911,12.168,11.893,NA,0.02609,7979.905568,0.02402,7914.066713,NA,NA,iter,0.02402,7914.066713,11.91702,2.008
bcsstk30,28924,28924,2014568,0.31709,7.13331,1626.445,49.213,52.639,NA,0.06957,14022.254839,0.06187,13607.679787,NA,NA,iter,0.06187,13607.679787,52.70087,5.125
bcsstk32,44609,44609,1970092,0.27822,9.67027,1812.746,46.863,45.605,NA,0.08667,11333.081034,0.07109,10459.233990,NA,NA,iter,0.07109,10459.233990,45.67609,3.914
bcsstk35,30237,30237,1419926,0.20238,6.70632,1796.101,31.709,30.963,NA,0.05925,10351.389493,0.05386,9245.323184,NA,NA,iter,0.05386,9245.323184,31.01686,3.758
bcsstk37,25503,25503,1115474,0.15346,5.43374,1860.806,24.384,26.096,NA,0.04719,11620.044992,0.03971,9920.990305,NA,NA,iter,0.03971,9920.990305,26.13571,3.865
bcsstm36,23052,23052,308434,0.06273,3.90210,1258.709,11.818,10.137,NA,0.03504,7900.876727,0.03275,6437.023333,NA,NA,iter,0.03275,6437.023333,10.16975,1.915
belgium_osm,1441295,1441295,3099940,2.72497,237.66646,291.227,226.784,264.589,NA,1.13971,5249.782614,1.13953,5250.085442,NA,NA,iter,1.13953,5250.085442,265.72853,2.391
bfly,49152,49152,196608,0.12745,8.57868,394.922,15.756,16.325,NA,0.05057,7299.196250,0.05048,7311.318724,NA,NA,iter,0.05048,7311.318724,16.37548,2.525
bloweya,30004,30004,140008,0.08126,5.25872,441.053,10.737,37.249,NA,1.55331,197.750668,1.51319,121.787619,NA,NA,iter,1.51319,121.787619,38.76219,0.054
bmw3_2,227362,227362,11061268,1.23048,58.43376,2301.286,265.25,253.327,NA,0.41267,12703.444024,0.33133,12883.470809,NA,NA,iter,0.33133,12883.470809,253.65833,3.714
bmw7st_1,141347,141347,7198320,0.76499,33.01134,2408.893,181.149,159.12,NA,0.27507,12108.584986,0.23083,11474.971258,NA,NA,iter,0.23083,11474.971258,159.35083,3.314
bodyy4,17546,17546,104392,0.05792,3.97596,461.421,6.879,5.631,NA,0.02394,7141.830296,0.02296,6211.596581,NA,NA,iter,0.02296,6211.596581,5.65396,2.523
bodyy6,19366,19366,115382,0.06457,6.37156,457.429,7.867,6.076,NA,0.02531,7565.048655,0.02404,6549.914958,NA,NA,iter,0.02404,6549.914958,6.10004,2.686
boneS01,127224,127224,6587928,0.95883,28.28101,1758.920,232.857,185.085,NA,0.21764,18166.139441,0.17629,15892.006783,NA,NA,iter,0.17629,15892.006783,185.26129,5.439
boneS10,914898,914898,54553524,7.27357,281.80835,1920.060,1780.15,1609.99,NA,1.76439,17965.975952,1.29919,17019.190715,NA,NA,iter,1.29919,17019.190715,1611.28919,5.599
boyd2,466316,466316,1220612,1.08161,71.52013,288.900,160.505,3475.19,NA,27.81899,123.526431,14.48221,207.798462,NA,NA,iter,14.48221,207.798462,3489.67221,0.075
brainpc2,27607,27607,165588,0.08294,4.79096,511.074,8.934,64.066,NA,2.07981,122.261282,2.09476,121.388695,NA,NA,adj,2.07981,122.261282,11.01381,0.040
Bump_2911,2911419,2911419,124818480,17.36122,923.47937,1840.511,4011.43,3514.79,NA,5.73610,15344.348603,4.17911,14115.837211,NA,NA,iter,4.17911,14115.837211,3518.96911,4.154
bundle_adj,513351,513351,19694700,3.50611,179.48201,1438.014,416.642,1238.22,NA,2.97777,3284.303098,2.37654,3521.249111,NA,NA,iter,2.37654,3521.249111,1240.59654,1.475
c-42,10471,10471,99814,0.03559,1.78373,717.906,5.25,5.823,NA,0.24705,514.631503,0.16751,704.829472,NA,NA,iter,0.16751,704.829472,5.99051,0.212
c-45,13206,13206,161246,0.05495,2.18364,751.239,6.091,8.71,NA,0.39578,378.535589,0.33741,405.559952,NA,NA,iter,0.33741,405.559952,9.04741,0.163
c-47,15343,15343,196058,0.06046,2.58884,830.209,13.029,13.926,NA,0.29643,906.121330,0.27349,931.915552,NA,NA,iter,0.27349,931.915552,14.19949,0.221
c-48,18354,18354,147726,0.06144,3.06072,615.525,9.782,9.789,NA,0.14053,1526.552004,0.14283,1435.962141,NA,NA,adj,0.14053,1526.552004,9.92253,0.437
c-50,22401,22401,171224,0.07090,4.07941,618.254,11.695,12.999,NA,0.27638,954.783247,0.25834,943.962377,NA,NA,iter,0.25834,943.962377,13.25734,0.274
c-52,23948,23948,178768,0.07924,4.48513,577.565,14.345,12.919,NA,0.27281,1014.338251,0.28918,876.487226,NA,NA,adj,0.27281,1014.338251,14.61781,0.290
c-53,30235,30235,341978,0.11143,5.18534,785.651,16.76,22.374,NA,0.75977,483.734950,0.63820,526.127988,NA,NA,iter,0.63820,526.127988,23.01220,0.175
c-55,32780,32780,370670,0.12755,5.57732,743.959,26.12,27.011,NA,0.44481,1157.622392,0.47581,1012.697448,NA,NA,adj,0.44481,1157.622392,26.56481,0.287
c-57,37833,37833,367364,0.12913,6.31009,728.319,19.055,52.204,NA,1.62886,265.808328,1.47042,274.770897,NA,NA,iter,1.47042,274.770897,53.67442,0.088
c-59,41282,41282,439254,0.14719,6.99549,763.973,32.218,34.372,NA,0.48970,1244.280911,0.51360,1106.372097,NA,NA,adj,0.48970,1244.280911,32.70770,0.301
c-60,43640,43640,254938,0.12374,7.18381,527.432,21.689,20.187,NA,0.36094,1212.982291,0.37792,1100.742420,NA,NA,adj,0.36094,1212.982291,22.04994,0.343
c-62,41731,41731,517612,0.17258,7.88456,767.799,35.559,42.465,NA,0.73394,991.913431,0.74361,917.590677,NA,NA,adj,0.73394,991.913431,36.29294,0.235
