dataset,rows,cols,nnz,cusparse_kernel_ms,cusparse_e2e_ms,cusparse_gflops,preprocess_adj_ms,preprocess_iter_ms,preprocess_max_ms,mp_adj_ms,mp_adj_gflops,mp_iter_ms,mp_iter_gflops,mp_max_ms,mp_max_gflops,mp_best_strategy,mp_best_ms,mp_best_gflops,mp_e2e_ms,speedup_kernel
crystm03,24696,24696,559074,0.13091,4.92260,1093.308,25.347,25.34,NA,0.04528,13072.093650,0.04518,13067.633526,NA,NA,iter,0.04518,13067.633526,25.38518,2.898
ct20stif,52329,52329,2646134,0.36119,12.15622,1875.520,64.702,62.553,NA,0.12906,10439.865630,0.10050,10284.410281,NA,NA,iter,0.10050,10284.410281,62.65350,3.594
Cube_Coup_dt6,2164760,2164760,125041384,14.99888,673.88818,2134.200,2869.74,2735.88,NA,3.84383,14440.459259,2.98733,15397.219920,NA,NA,iter,2.98733,15397.219920,2738.86733,5.021
CurlCurl_0,11083,11083,102260,0.02400,1.93827,1090.657,5.44,4.914,NA,0.01565,7465.968619,0.01487,6545.454560,NA,NA,iter,0.01487,6545.454560,4.92887,1.614
CurlCurl_2,806529,806529,8115260,2.22923,130.15012,931.940,380.524,363.371,NA,0.91093,10135.299505,0.81132,9633.279951,NA,NA,iter,0.81132,9633.279951,364.18232,2.748
CurlCurl_4,2380515,2380515,24135352,6.66767,435.42636,926.658,1126.71,1096.93,NA,2.66719,10294.134930,2.37918,9784.830781,NA,NA,iter,2.37918,9784.830781,1099.30918,2.803
cvxqp3,17500,17500,104962,0.06164,3.15196,435.907,10.77,10.834,NA,0.02451,10630.576138,0.02456,10611.509154,NA,NA,adj,0.02451,10630.576138,10.79451,2.515
cyl6,13681,13681,700560,0.11870,4.79706,1510.870,12.976,12.146,NA,0.11426,2435.131799,0.11710,1704.372227,NA,NA,adj,0.11426,2435.131799,13.09026,1.039
cz20468,20468,20468,206076,0.07217,3.45233,730.973,13.199,12.36,NA,0.03144,8494.071403,0.02753,8328.571495,NA,NA,iter,0.02753,8328.571495,12.38753,2.622
D6-6,120576,23740,146880,0.17072,10.14412,220.250,14.327,13.313,NA,0.07373,4761.333415,0.07367,4765.304533,NA,NA,iter,0.07367,4765.304533,13.38667,2.317
dawson5,51537,51537,959240,0.20828,9.55512,1179.007,45.322,43.174,NA,0.06519,13240.339209,0.06077,11993.832261,NA,NA,iter,0.06077,11993.832261,43.23477,3.427
dbir1,18804,45775,1077025,0.27226,8.29653,1012.710,64.746,137.983,NA,0.67526,2324.500037,0.49136,2733.977976,NA,NA,iter,0.49136,2733.977976,138.47436,0.554
dblp-2010,326186,326186,1615400,0.83704,56.98721,494.054,104.644,118.457,NA,0.34570,6533.933645,0.33077,6152.634583,NA,NA,iter,0.33077,6152.634583,118.78777,2.531
dc1,116835,116835,766396,0.36370,20.44905,539.450,53.795,3994.62,NA,17.04802,70.141280,16.99981,68.138913,NA,NA,iter,16.99981,68.138913,4011.61981,0.021
dc3,116835,116835,766396,0.36424,19.57811,538.653,56.455,4138.7,NA,17.11176,69.880018,17.06863,67.864211,NA,NA,iter,17.06863,67.864211,4155.76863,0.021
debr,1048576,1048576,4194298,2.68216,187.67978,400.326,285.854,288.548,NA,0.96635,6666.796647,0.96641,6666.372963,NA,NA,adj,0.96635,6666.796647,286.82035,2.776
delaunay_n15,32768,32768,196548,0.09310,8.05927,540.442,13.914,16.039,NA,0.03549,7371.263530,0.03480,7089.346612,NA,NA,iter,0.03480,7089.346612,16.07380,2.675
delaunay_n16,65536,65536,393150,0.17476,11.92517,575.926,32.008,28.871,NA,0.06892,7566.359558,0.06787,7263.037856,NA,NA,iter,0.06787,7263.037856,28.93887,2.575
delaunay_n18,262144,262144,1572792,0.66298,41.59879,607.307,115.772,166.344,NA,0.25612,8121.797689,0.25537,7715.518373,NA,NA,iter,0.25537,7715.518373,166.59937,2.596
delaunay_n20,1048576,1048576,6291372,2.63297,176.48424,611.701,481.509,465.476,NA,1.03268,8061.367861,1.00518,7843.914932,NA,NA,iter,1.00518,7843.914932,466.48118,2.619
delaunay_n22,4194304,4194304,25165738,10.63373,762.92627,605.848,2046.53,1881.7,NA,4.08992,8141.402266,3.97214,7941.750774,NA,NA,iter,3.97214,7941.750774,1885.67214,2.677
Delor295K,295734,1823928,2401323,0.73568,185.96217,835.610,147.244,132.362,NA,0.30079,9196.377848,0.30034,9181.370522,NA,NA,iter,0.30034,9181.370522,132.66234,2.449
Delor64K,64719,1785345,652140,0.25029,165.92618,667.028,50.4,46.693,NA,0.09613,10018.577149,0.09568,10033.218782,NA,NA,iter,0.09568,10033.218782,46.78868,2.616
denormal,89400,89400,1066824,0.26069,15.60074,1047.631,56.163,52.767,NA,0.10076,12720.320766,0.09902,11057.042866,NA,NA,iter,0.09902,11057.042866,52.86602,2.633
dielFilterV2clx,607232,607232,24702040,5.47449,161.20853,1155.126,1353.45,1451.21,NA,1.56060,15796.622233,1.26034,15827.858267,NA,NA,iter,1.26034,15827.858267,1452.47034,4.344
dielFilterV2real,1157456,1157456,47381496,10.98160,599.85541,1104.544,2641.42,2552.81,NA,2.99117,15612.633633,2.44947,15971.345123,NA,NA,iter,2.44947,15971.345123,2555.25947,4.483
dielFilterV3real,1102824,1102824,88203196,19.50898,311.16656,1157.417,3859.69,4589.48,NA,4.78679,16510.845619,3.66934,16586.411334,NA,NA,iter,3.66934,16586.411334,4593.14934,5.317
d_pretok,182730,182730,1512512,0.60457,29.61247,640.461,109.024,105.446,NA,0.20722,10729.867341,0.19872,9871.586030,NA,NA,iter,0.19872,9871.586030,105.64472,3.042
Dubcova1,16129,16129,236880,0.05486,3.19304,1105.366,18.95,18.183,NA,0.04282,7303.682136,0.03955,7152.356161,NA,NA,iter,0.03955,7152.356161,18.22255,1.387
Dubcova2,65025,65025,965200,0.29590,12.31083,835.064,75.996,74.445,NA,0.10582,12098.625905,0.09697,11976.177489,NA,NA,iter,0.09697,11976.177489,74.54197,3.051
e18,24617,38602,156466,0.07764,5.74813,515.913,9.287,8.754,NA,0.03836,4982.808481,0.03777,4824.295129,NA,NA,iter,0.03777,4824.295129,8.79177,2.056
EAT_RS,23219,23219,325592,0.10312,4.06700,808.322,39.558,45.534,NA,0.15579,5177.757364,0.15256,4795.704030,NA,NA,iter,0.15256,4795.704030,45.68656,0.676
ecl32,51993,51993,380415,0.16767,9.40431,580.822,27.619,27.847,NA,0.06312,9593.251285,0.06142,9556.785536,NA,NA,iter,0.06142,9556.785536,27.90842,2.730
ecology1,1000000,1000000,3996000,2.43448,179.74188,420.203,342.858,331.857,NA,0.91222,11202.893761,0.84316,9710.915472,NA,NA,iter,0.84316,9710.915472,332.70016,2.887
email-Enron,36692,36692,367662,0.14064,6.25573,669.255,33.083,39.64,NA,0.37300,1844.308995,0.28981,2108.797903,NA,NA,iter,0.28981,2108.797903,39.92981,0.485
Emilia_923,923136,923136,40082070,6.19160,323.17215,1657.248,2010.03,1439.12,NA,1.77109,15074.031716,1.41758,15985.390561,NA,NA,iter,1.41758,15985.390561,1440.53758,4.368
enron,69244,69244,276143,0.13941,10.84207,507.094,28.744,34.429,NA,0.27199,2446.321841,0.22499,2665.210195,NA,NA,iter,0.22499,2665.210195,34.65399,0.620
epb2,25228,25228,175027,0.08331,4.50180,537.817,9.867,8.329,NA,0.03791,5871.853026,0.03539,4773.148140,NA,NA,iter,0.03539,4773.148140,8.36439,2.354
ESOC,327062,37830,6019939,0.86020,32.48389,1791.563,339.123,334.531,NA,0.35525,16813.374552,0.36966,16109.207692,NA,NA,adj,0.35525,16813.374552,339.47825,2.421
EternityII_Etilde,10054,204304,1170516,0.69841,22.47231,429.051,112.929,138.271,NA,1.96030,1423.030205,1.14598,2072.800109,NA,NA,iter,1.14598,2072.800109,139.41698,0.609
ex11,16614,16614,1096948,0.14057,5.13337,1997.647,28.858,26,NA,0.04798,13200.171213,0.03553,12195.965023,NA,NA,iter,0.03553,12195.965023,26.03553,3.956
ex19,12005,12005,259879,0.05116,2.19670,1300.435,7.51,7.544,NA,0.01991,8725.925846,0.01978,8642.649912,NA,NA,iter,0.01978,8642.649912,7.56378,2.586
F1,343791,343791,26493322,3.98592,95.01723,1701.562,1245.78,936.048,NA,1.33458,13531.914851,1.08538,12868.441485,NA,NA,iter,1.08538,12868.441485,937.13338,3.672
Fault_639,638802,638802,27975762,3.71704,147.70393,1926.748,970.329,1042.58,NA,1.23296,15208.251852,0.95934,15127.297647,NA,NA,iter,0.95934,15127.297647,1043.53934,3.875
fe_body,45087,45087,327468,0.11991,7.77644,699.124,20.26,20.12,NA,0.04813,7836.595858,0.04471,7311.039547,NA,NA,iter,0.04471,7311.039547,20.16471,2.682
FEM_3D_thermal2,147900,147900,3489300,0.53838,36.95952,1659.179,160.104,153.099,NA,0.18100,14188.187732,0.16257,11998.790063,NA,NA,iter,0.16257,11998.790063,153.26157,3.312
fem_filter,74062,74062,1731206,0.41904,17.71199,1057.625,121.527,130.215,NA,0.17435,9266.392726,0.13842,10548.542667,NA,NA,iter,0.13842,10548.542667,130.35342,3.027
fe_ocean,143437,143437,819186,0.48257,27.55235,434.572,87.823,83.474,NA,0.13609,11975.319656,0.14064,11588.175497,NA,NA,adj,0.13609,11975.319656,87.95909,3.546
fe_tooth,78136,78136,905182,0.29557,15.65767,784.006,91.239,86.817,NA,0.11563,10224.016730,0.10000,9591.541614,NA,NA,iter,0.10000,9591.541614,86.91700,2.956
filter3D,106437,106437,2600742,0.57397,29.06127,1159.968,297.918,284.292,NA,0.19872,18367.927301,0.20404,17099.588146,NA,NA,adj,0.19872,18367.927301,298.11672,2.888
finance256,37376,37376,261120,0.12550,9.25212,532.637,18.419,19.755,NA,0.04723,9779.704707,0.04571,9541.935489,NA,NA,iter,0.04571,9541.935489,19.80071,2.746
Flan_1565,1564794,1564794,115841250,13.35960,411.80991,2219.780,2959.88,2717.88,NA,3.45317,17688.743038,2.60086,17283.301290,NA,NA,iter,2.60086,17283.301290,2720.48086,5.137
flickr,820878,820878,9837214,4.38323,181.19147,574.537,1051.52,1956.58,NA,2.36110,9995.475953,2.29044,9239.893580,NA,NA,iter,2.29044,9239.893580,1958.87044,1.914
flower_8_4,55081,125361,375266,0.22229,19.83842,432.175,41.516,45.618,NA,0.07688,9256.473227,0.07733,9176.270909,NA,NA,adj,0.07688,9256.473227,41.59288,2.891
fome12,24284,48920,142528,0.11321,6.62593,322.287,17.831,15.543,NA,0.06138,5395.795790,0.05929,5417.340382,NA,NA,iter,0.05929,5417.340382,15.60229,1.909
fome20,33874,108175,232647,0.17996,20.67092,330.953,29.276,26.735,NA,0.07475,7320.986129,0.07336,6851.591225,NA,NA,iter,0.07336,6851.591225,26.80836,2.453
fome21,67748,216350,465294,0.32707,32.01653,364.194,70.246,65.98,NA,0.12638,8652.082054,0.12461,8066.938468,NA,NA,iter,0.12461,8066.938468,66.10461,2.625
ford2,100196,100196,444492,0.24580,21.77866,462.935,47.649,46.723,NA,0.10181,7752.484565,0.10007,7124.682838,NA,NA,iter,0.10007,7124.682838,46.82307,2.456
Freescale1,3428755,3428755,18920347,10.58089,907.98651,457.770,1333.42,1237.3,NA,3.70086,7718.004070,3.61878,7827.710591,NA,NA,iter,3.61878,7827.710591,1240.91878,2.924
fullb,199187,199187,11508890,1.46688,48.78467,2008.532,245.358,335.804,NA,0.34751,14293.707134,0.30050,13815.306837,NA,NA,iter,0.30050,13815.306837,336.10450,4.881
FullChip,2987012,2987012,26621990,10.98059,575.96844,620.661,2633.44,6.44637e+06,NA,419.12790,92.213696,NA,NA,NA,NA,adj,419.12790,92.213696,3052.56790,0.026
fxm4_6,18892,18892,478952,0.09615,3.85012,1275.208,21.589,23.157,NA,0.06226,8006.924635,0.05247,8335.987671,NA,NA,iter,0.05247,8335.987671,23.20947,1.832
G2_circuit,150102,150102,576572,0.37614,26.21814,392.418,51.984,45.433,NA,0.14422,9926.043639,0.13873,8457.277962,NA,NA,iter,0.13873,8457.277962,45.57173,2.711
g7jac040,11790,11790,114671,0.04103,2.11714,715.531,6.353,6.779,NA,0.03363,4859.439570,0.03342,4712.745183,NA,NA,iter,0.03342,4712.745183,6.81242,1.228
g7jac040sc,11790,11790,114671,0.04108,1.96096,714.639,6.497,7.342,NA,0.03355,4871.306423,0.03338,4718.527737,NA,NA,iter,0.03338,4718.527737,7.37538,1.231
g7jac060,17730,17730,203316,0.06423,3.27261,810.411,12.75,12.77,NA,0.04420,6436.330230,0.04489,6104.379765,NA,NA,adj,0.04420,6436.330230,12.79420,1.453
g7jac080,23670,23670,293976,0.08626,4.44873,872.436,18.746,18.209,NA,0.04995,8166.625849,0.05061,7759.773509,NA,NA,adj,0.04995,8166.625849,18.79595,1.727
g7jac080sc,23670,23670,293976,0.08622,4.35570,872.850,18.154,18.389,NA,0.04987,8180.041354,0.05071,7744.103411,NA,NA,adj,0.04987,8180.041354,18.20387,1.729
g7jac100sc,29610,29610,384636,0.10944,5.60808,899.702,24.575,24.534,NA,0.05880,9036.572701,0.05917,8639.387470,NA,NA,adj,0.05880,9036.572701,24.63380,1.861
g7jac120sc,35550,35550,475296,0.13289,6.97361,915.598,30.044,30.701,NA,0.06832,9587.529909,0.06851,9192.944441,NA,NA,adj,0.06832,9587.529909,30.11232,1.945
g7jac140sc,41490,41490,565956,0.15218,7.78633,952.031,35.994,37.005,NA,0.07651,10171.734360,0.07594,9852.427020,NA,NA,iter,0.07594,9852.427020,37.08094,2.004
g7jac160,47430,47430,656616,0.17463,9.05421,962.554,45.469,45.712,NA,0.08192,11007.256058,0.08223,10541.410526,NA,NA,adj,0.08192,11007.256058,45.55092,2.132
g7jac180,53370,53370,747276,0.19939,10.08762,959.424,62.614,53.621,NA,0.08618,11895.437513,0.08579,11485.318694,NA,NA,iter,0.08579,11485.318694,53.70679,2.324
g7jac200,59310,59310,837936,0.22172,11.19744,967.504,53.218,53.676,NA,0.09443,12165.690864,0.09427,11710.355555,NA,NA,iter,0.09427,11710.355555,53.77027,2.352
Ga10As10H30,113081,113081,6002552,1.35559,34.71885,1133.566,316.939,512.372,NA,0.37411,20084.655286,0.34044,19506.718914,NA,NA,iter,0.34044,19506.718914,512.71244,3.982
Ga19As19H42,133123,133123,8751716,2.01771,41.12598,1110.387,447.092,491.901,NA,0.51130,19910.085997,0.45189,19516.612723,NA,NA,iter,0.45189,19516.612723,492.35289,4.465
Ga3As3H12,61349,61349,5909598,1.28592,24.47941,1176.480,242.466,365.284,NA,0.35711,16206.824729,0.34105,15252.795800,NA,NA,iter,0.34105,15252.795800,365.62505,3.770
GaAsH6,61349,61349,3320460,0.72944,15.46546,1165.335,184.108,233.303,NA,0.28924,13661.119961,0.29118,12453.959976,NA,NA,adj,0.28924,13661.119961,184.39724,2.522
gas_sensor,66917,66917,1636448,0.28102,13.50819,1490.726,99.833,90.775,NA,0.10723,16467.838602,0.09560,15997.257398,NA,NA,iter,0.09560,15997.257398,90.87060,2.940
Ge87H76,112985,112985,7779210,1.76609,39.67501,1127.618,377.168,399.694,NA,0.45939,19253.640735,0.38392,19496.767536,NA,NA,iter,0.38392,19496.767536,400.07792,4.600
gearbox,153746,153746,8926658,1.16717,45.06515,1957.919,324.088,231.482,NA,0.27019,18476.222088,0.23800,16234.058689,NA,NA,iter,0.23800,16234.058689,231.72000,4.904
GL7d14,171375,47271,1831183,0.85719,20.36370,546.885,186.356,212.916,NA,0.26442,14743.272848,0.27709,14065.099661,NA,NA,adj,0.26442,14743.272848,186.62042,3.242
GL7d16,955128,460261,14488881,8.97292,220.42680,413.372,1512.14,1512.87,NA,2.68671,11387.578969,2.67029,11453.333167,NA,NA,iter,2.67029,11453.333167,1515.54029,3.360
GL7d17,1548650,955128,25978098,16.38804,310.74161,405.808,2674.52,2651.02,NA,5.10017,10727.008646,5.09641,10731.009830,NA,NA,iter,5.09641,10731.009830,2656.11641,3.216
GL7d19,1911130,1955309,37322725,23.66863,419.18634,403.683,3737.22,3793.35,NA,7.45182,10478.562209,7.44841,10477.133813,NA,NA,iter,7.44841,10477.133813,3800.79841,3.178
GL7d21,822922,1437547,18174775,11.46810,269.67374,405.712,2619.56,1970.68,NA,3.70446,10251.978248,3.69541,10265.307383,NA,NA,iter,3.69541,10265.307383,1974.37541,3.103
GL7d22,349443,822922,8251000,5.14906,139.70515,410.222,848.472,823.529,NA,1.71229,10063.993699,1.70564,10088.116993,NA,NA,iter,1.70564,10088.116993,825.23464,3.019
GL7d24,21074,105054,593892,0.36252,12.53002,419.386,62.169,61.968,NA,0.35228,3485.936697,0.35090,3492.895596,NA,NA,iter,0.35090,3492.895596,62.31890,1.033
great-britain_osm,7733822,7733822,16313034,15.19501,1326.08618,274.836,1232.78,1255.53,NA,6.07590,5260.948910,6.07549,5261.168711,NA,NA,iter,6.07549,5261.168711,1261.60549,2.501
gsm_106857,589446,589446,21169478,8.98957,153.69884,602.853,1776.78,1741,NA,2.64161,12121.917805,2.56066,12388.790784,NA,NA,iter,2.56066,12388.790784,1743.56066,3.511
gupta3,16783,16783,9306644,1.76209,16.91324,1352.085,188.231,1263.8,NA,1.72792,2246.686644,1.69554,2188.032312,NA,NA,iter,1.69554,2188.032312,1265.49554,1.039
gyro_k,17361,17361,1003798,0.15684,4.07902,1638.479,36.681,32.451,NA,0.06867,9575.663813,0.05947,9304.232213,NA,NA,iter,0.05947,9304.232213,32.51047,2.637
H2O,67024,67024,2149712,0.52291,14.52449,1052.427,150.742,158.594,NA,0.16132,20163.210172,0.16249,18645.625612,NA,NA,adj,0.16132,20163.210172,150.90332,3.241
halfb,224617,224617,12163204,1.54405,63.27229,2016.633,247.509,236.889,NA,0.36600,14348.036310,0.31517,13286.477297,NA,NA,iter,0.31517,13286.477297,237.20417,4.899
hangGlider_4,15561,15561,140888,0.06846,2.67304,526.802,9.348,53.456,NA,1.90822,137.667827,1.96475,118.880379,NA,NA,adj,1.90822,137.667827,11.25622,0.036
hcircuit,105676,105676,513072,0.24933,18.40129,526.807,29.269,30.121,NA,0.39776,1611.368528,0.31070,2022.384839,NA,NA,iter,0.31070,2022.384839,30.43170,0.802
helm3d01,32226,32226,396218,0.15736,8.98451,644.566,35.064,35.909,NA,0.06380,9895.975280,0.05843,10656.571765,NA,NA,iter,0.05843,10656.571765,35.96743,2.693
HEP-th-new,27770,27770,352807,0.11176,5.26980,808.152,43.08,38.819,NA,0.10877,6702.165114,0.10402,6753.794698,NA,NA,iter,0.10402,6753.794698,38.92302,1.074
hollywood-2009,1139905,1139905,112751422,27.63156,384.89630,1044.616,6892.18,8532.58,NA,8.58966,15091.066153,7.67353,14684.113312,NA,NA,iter,7.67353,14684.113312,8540.25353,3.601
Hook_1498,1498023,1498023,59419422,9.99655,411.82318,1521.662,2137.06,2060,NA,2.73832,15141.621401,2.20365,14541.977225,NA,NA,iter,2.20365,14541.977225,2062.20365,4.536
HTC_336_4438,226340,226340,678182,0.54098,38.77370,320.927,81.174,138.878,NA,1.48689,1160.364786,1.08884,1547.485284,NA,NA,iter,1.08884,1547.485284,139.96684,0.497
hugetrace-00000,4588484,4588484,13758266,10.68380,883.89832,329.669,1114.66,1173.12,NA,4.22009,6323.952064,4.22028,6323.671741,NA,NA,adj,4.22009,6323.952064,1118.88009,2.532
hugetric-00010,6592765,6592765,19771708,16.11497,1566.16443,314.090,1774.62,1876.97,NA,6.35841,6222.719790,6.35691,6224.312453,NA,NA,iter,6.35691,6224.312453,1883.32691,2.535
human_gene1,22283,22283,24647360,5.49929,48.85253,1147.371,1528.29,5900.48,NA,2.01318,15373.818528,1.58583,15982.106331,NA,NA,iter,1.58583,15982.106331,5902.06583,3.468
human_gene2,14340,14340,18054048,3.90662,34.45815,1183.078,924.815,3430.86,NA,1.22751,16065.268458,1.03920,15354.128626,NA,NA,iter,1.03920,15354.128626,3431.89920,3.759
hvdc1,24842,24842,159981,0.08952,4.18668,457.507,7.496,7.538,NA,0.05908,2956.533712,0.05226,3192.476355,NA,NA,iter,0.05226,3192.476355,7.59026,1.713
ia2010,216007,216007,1021170,0.64762,39.31955,403.663,103.302,104.697,NA,0.20423,10229.282438,0.20935,9931.989758,NA,NA,adj,0.20423,10229.282438,103.50623,3.171
iChem_Jacobian,274087,274087,4137369,1.35789,55.98427,780.012,223.63,242.073,NA,0.39145,13460.708919,0.35178,13499.457756,NA,NA,iter,0.35178,13499.457756,242.42478,3.860
id2010,149842,149842,728264,0.47823,26.00758,389.846,76.016,77.704,NA,0.15245,10137.775564,0.15407,9922.850224,NA,NA,adj,0.15245,10137.775564,76.16845,3.137
IG5-16,18846,18485,588326,0.14762,5.04495,1020.266,59.504,52.706,NA,0.07750,11915.039892,0.07748,11473.645453,NA,NA,iter,0.07748,11473.645453,52.78348,1.905
IG5-18,47894,41550,1790490,0.43149,11.05250,1062.278,161.176,226.948,NA,0.15014,19468.448586,0.14578,19511.098121,NA,NA,iter,0.14578,19511.098121,227.09378,2.960
il2010,451554,451554,2164464,1.37576,128.09146,402.760,214.923,218.685,NA,0.46647,9669.122173,0.46406,9682.333727,NA,NA,iter,0.46406,9682.333727,219.14906,2.965
Ill_Stokes,20896,20896,191368,0.09814,3.82200,499.186,22.831,23.367,NA,0.04186,9571.037349,0.04180,9577.266320,NA,NA,iter,0.04180,9577.266320,23.40880,2.348
IMDB,428440,896308,3782463,2.38190,142.75217,406.528,410.665,401.898,NA,1.00622,8507.628316,0.97984,8348.030131,NA,NA,iter,0.97984,8348.030131,402.87784,2.431
in2010,267071,267071,1281716,0.80775,52.29184,406.213,130.221,148.799,NA,0.26290,10135.078138,0.25979,10206.574723,NA,NA,iter,0.25979,10206.574723,149.05879,3.109
inline_1,503712,503712,36312630,4.77719,155.27370,1945.923,1619.5,1564.47,NA,2.12279,11310.029668,1.54753,11358.532818,NA,NA,iter,1.54753,11358.532818,1566.01753,3.087
ins2,309412,309412,2442072,1.10528,54.68739,565.620,181.992,34824.3,NA,44.86687,99.364016,45.07937,89.608794,NA,NA,adj,44.86687,99.364016,226.85887,0.025
invextr1_new,30412,30412,1793881,0.30335,7.34931,1513.881,82.058,81.765,NA,0.11192,13794.547278,0.09206,14445.205781,NA,NA,iter,0.09206,14445.205781,81.85706,3.295
jan99jac060,20614,20614,127182,0.06826,3.59960,476.980,8.405,8.206,NA,0.03000,6437.133196,0.02824,6335.025275,NA,NA,iter,0.02824,6335.025275,8.23424,2.417
jan99jac060sc,20614,20614,127182,0.06840,3.97995,475.981,9.085,7.609,NA,0.03011,6415.238019,0.02824,6335.025275,NA,NA,iter,0.02824,6335.025275,7.63724,2.422
jan99jac080sc,27534,27534,171522,0.08860,4.82549,495.614,11.813,13.097,NA,0.03633,7183.765486,0.03424,7044.975899,NA,NA,iter,0.03424,7044.975899,13.13124,2.588
jan99jac100sc,34454,34454,215862,0.10822,6.79796,510.650,16.08,16.945,NA,0.04318,7626.419850,0.04131,7357.461607,NA,NA,iter,0.04131,7357.461607,16.98631,2.620
jan99jac120sc,41374,41374,260202,0.12802,7.93526,520.321,19.085,17.853,NA,0.05009,7928.045794,0.04758,7698.321159,NA,NA,iter,0.04758,7698.321159,17.90058,2.691
jnlbrng1,40000,40000,159200,0.11577,7.48618,352.025,15.827,13.35,NA,0.04461,9090.256818,0.04188,7803.618689,NA,NA,iter,0.04188,7803.618689,13.39188,2.764
juba40k,40337,40337,144945,0.10240,7.52799,362.363,10.295,10.542,NA,0.04372,5089.274103,0.04296,5128.999307,NA,NA,iter,0.04296,5128.999307,10.58496,2.384
k3plates,11107,11107,378927,0.04499,2.21927,2155.965,9.988,9.464,NA,0.02236,8399.999619,0.01923,8080.085279,NA,NA,iter,0.01923,8080.085279,9.48323,2.340
kim1,38415,38415,933195,0.13998,9.23468,1706.648,32.228,26.146,NA,0.05386,12970.342192,0.04807,11292.032655,NA,NA,iter,0.04807,11292.032655,26.19407,2.912
kim2,456976,456976,11330020,1.56223,96.29528,1856.625,354.892,311.469,NA,0.55370,15127.740766,0.48245,13516.152390,NA,NA,iter,0.48245,13516.152390,311.95145,3.238
kneser_10_4_1,349651,330751,992252,0.78354,56.54079,324.191,93.84,105.134,NA,0.35238,7135.557296,0.34851,6780.983952,NA,NA,iter,0.34851,6780.983952,105.48251,2.248
kron_g500-logn17,131072,131072,10227970,2.61319,44.83079,1001.980,1194.95,4889.96,NA,5.36355,5540.439763,5.27937,5098.172104,NA,NA,iter,5.27937,5098.172104,4895.23937,0.495
kron_g500-logn19,524288,524288,43561574,16.93151,202.47324,658.639,5432.66,38551.6,NA,17.66789,7691.137507,17.27615,7195.235383,NA,NA,iter,17.27615,7195.235383,38568.87615,0.980
kron_g500-logn20,1048576,1048576,89238804,39.91953,353.05869,572.280,10996.8,110518,NA,30.16995,9503.736459,29.39371,8973.996076,NA,NA,iter,29.39371,8973.996076,110547.39371,1.358
ky2010,161672,161672,787778,0.50384,28.44125,400.265,92.166,82.102,NA,0.15991,10227.581816,0.16366,9916.556028,NA,NA,adj,0.15991,10227.581816,92.32591,3.151
laminar_duct3D,67173,67173,3833077,0.54004,16.85014,1817.038,119.254,103.902,NA,0.15380,15472.490202,0.12417,13906.876552,NA,NA,iter,0.12417,13906.876552,104.02617,4.349
largebasis,440020,440020,5560100,1.25927,85.02261,1130.322,207.592,183.323,NA,0.48087,9029.301543,0.46584,8617.180877,NA,NA,iter,0.46584,8617.180877,183.78884,2.703
LargeRegFile,2111154,801374,4944201,3.70330,254.92212,341.781,250.975,245.575,NA,1.50096,4430.744071,1.50094,4414.758147,NA,NA,iter,1.50094,4414.758147,247.07594,2.467
LeGresley_87936,87936,87936,593276,0.29619,15.41487,512.781,50.783,57.357,NA,0.10369,9441.042608,0.10084,9522.015057,NA,NA,iter,0.10084,9522.015057,57.45784,2.937
lhr10c,10672,10672,232633,0.05528,2.17380,1077.341,7.313,6.924,NA,0.02310,7565.957618,0.01835,8916.071306,NA,NA,iter,0.01835,8916.071306,6.94235,3.013
lhr11,10964,10964,233741,0.05575,2.28758,1073.388,6.727,7.249,NA,0.02277,7778.417483,0.01886,8804.885332,NA,NA,iter,0.01886,8804.885332,7.26786,2.956
lhr14,14270,14270,307858,0.07234,2.96026,1089.532,9.754,9.446,NA,0.02585,8972.425099,0.02150,10128.762266,NA,NA,iter,0.02150,10128.762266,9.46750,3.365
lhr17,17576,17576,381975,0.08817,3.73676,1109.103,12.444,12.714,NA,0.03060,9416.867676,0.02835,9511.064676,NA,NA,iter,0.02835,9511.064676,12.74235,3.110
lhr34,35152,35152,764014,0.16869,7.11955,1159.424,25.555,26.054,NA,0.05177,11123.418054,0.04741,11365.875062,NA,NA,iter,0.04741,11365.875062,26.10141,3.558
lhr34c,35152,35152,764014,0.16859,7.47017,1160.128,25.916,23.718,NA,0.05186,11105.845379,0.04745,11356.064132,NA,NA,iter,0.04745,11356.064132,23.76545,3.553
lhr71c,70304,70304,1528092,0.32797,15.09982,1192.760,64.579,59.073,NA,0.08675,13277.431149,0.08090,13323.342416,NA,NA,iter,0.08090,13323.342416,59.15390,4.054
light_in_tissue,29282,29282,406084,0.13449,5.88729,772.985,24.593,22.646,NA,0.04602,10425.989684,0.04084,10232.296638,NA,NA,iter,0.04084,10232.296638,22.68684,3.293
Linux_call_graph,324085,324085,1208908,0.69014,54.51257,448.435,129.336,130.908,NA,0.36119,6561.760316,0.35781,6233.964659,NA,NA,iter,0.35781,6233.964659,131.26581,1.929
ljournal-2008,5363260,5363260,79023142,30.44205,1064.12231,664.539,6195.06,6430.73,NA,11.17825,11249.938953,10.63330,10659.205594,NA,NA,iter,10.63330,10659.205594,6441.36330,2.863
Long_Coup_dt6,1470152,1470152,85618840,11.38119,472.97992,1925.847,3171.72,2002.43,NA,2.68886,14199.006749,2.14606,15762.232632,NA,NA,iter,2.14606,15762.232632,2004.57606,5.303
